row_id,점검일자,연월,지사,사업장,점검자,직급,점검유형,Area/공정,위험분류,위험요소원본,심각도원본,심각도점수,지적내용_평문,조치유형,조치활동분류,조치내용_평문,완료여부,지적내용,조치내용,적용맥락가중치,맥락가중치합,LLM심각도,판정방식,근거,위험분류_재검토
157,2026-05-26,2026-05,부산지사,감천,INSPECTOR_08,EHS팀 책임,지사 주관,부산지사_ 감천,정리정돈,정리정돈,개선필요 [중],2.0,도구방 내 파손된 작업용 발판을 보관하고 있어 사용 위험이 있으므로 폐기 또는 분리 조치 실시,즉시처리,제거·차단,파손된 작업용 발판 폐기 조치,완료,도구방 내 파손된 작업용 발판을 보관하고 있어 사용 위험이 있으므로 폐기 또는 분리 조치 실시,파손된 작업용 발판 폐기 조치,,0,2.0,키워드보정,,
158,2026-05-26,2026-05,부산지사,감천,INSPECTOR_08,EHS팀 책임,지사 주관,부산지사_ 감천,정리정돈,정리정돈,개선필요 [하],1.0,휴게실 정리정돈 상태 미흡하여 정리 조치 실시,즉시처리,제거·차단,"휴게실 내 이불, 베개 등 침구류 사용 후 정리정돈 실시",완료,휴게실 정리정돈 상태 미흡하여 정리 조치 실시,"휴게실 내 이불, 베개 등 침구류 사용 후 정리정돈 실시",,0,1.0,키워드보정,,
159,2026-05-26,2026-05,부산지사,감천,INSPECTOR_08,EHS팀 책임,지사 주관,부산지사_ 감천,정리정돈,정리정돈,개선필요 [하],1.0,야드 내 미화 상태 불량으로 정리 조치 실시,즉시처리,제거·차단,야드 정리 및 청소 실시,완료,야드 내 미화 상태 불량으로 정리 조치 실시,야드 정리 및 청소 실시,,0,1.0,키워드보정,,
160,2026-05-26,2026-05,부산지사,감천,INSPECTOR_08,EHS팀 책임,지사 주관,부산지사_ 감천,관리적미흡,관리적 미흡,관계법규 위반,4.0,운행중인 지게차 후미 경광등 점등 불량 -> 운행중인 지게차 등화장치 전수 검사하여 수리등 조치 예정,즉시처리,점검·확인,지게차 등화장치 전수 점검 완료 후 고장 부분 수리 조치,완료,운행중인 지게차 후미 경광등 점등 불량 -> 운행중인 지게차 등화장치 전수 검사하여 수리등 조치 예정,지게차 등화장치 전수 점검 완료 후 고장 부분 수리 조치,,1,2.0,직접판정,"경광등 불량은 충돌위험 간접요인, 원본4점 근거 약함 - 하향",
161,2026-05-26,2026-05,부산지사,감천,INSPECTOR_14,EHS팀 선임,지사 주관,부산지사_ 감천,화재·폭발,화재,개선필요 [중],2.0,옥외소화전 사용방법 등 표지 노후화로 인식 미흡 → 사용방법 등 표지 교체 필요,즉시처리,기타,옥외소화전 사용방법 표지 부착 완료,완료,옥외소화전 사용방법 등 표지 노후화로 인식 미흡 → 사용방법 등 표지 교체 필요,옥외소화전 사용방법 표지 부착 완료,,0,2.0,키워드보정,,
162,2026-05-26,2026-05,부산지사,감천,INSPECTOR_14,EHS팀 선임,지사 주관,부산지사_ 감천,충돌,충돌,개선필요 [상],3.0,화물차량 운전원 안전모 미착용으로 안전수칙 위반 → 안전모 착용할 수 있도록 조치 필요,즉시처리,보호구지급,화물차량 운전원 즉시 안전모 착용 조치 완료,완료,화물차량 운전원 안전모 미착용으로 안전수칙 위반 → 안전모 착용할 수 있도록 조치 필요,화물차량 운전원 즉시 안전모 착용 조치 완료,,0,3.0,키워드보정,,
163,2026-05-22,2026-05,당진지사,당진지사,INSPECTOR_07,EHS팀 선임,지사 주관,당진지사,추락,추락,개선필요 [상],3.0,- 유연탄 2부두 SUMP PUMP 준설작업 종료후 안전펜스 설치 불량 - 준설업체에 안전펜스 및 그레이팅 발판 정위치 전달,즉시처리,설치·구조물,- 안전펜스 및 그레이팅 발판 정위치 완료,완료,"- 유연탄 2부두 SUMP PUMP 준설작업 종료후 안전펜스 설치 불량
- 준설업체에 안전펜스 및 그레이팅 발판 정위치 전달",- 안전펜스 및 그레이팅 발판 정위치 완료,,0,3.0,키워드보정,,
164,2026-05-22,2026-05,당진지사,당진지사,INSPECTOR_07,EHS팀 선임,지사 주관,당진지사,관리적미흡,관리적 미흡,개선필요 [중],2.0,- 2부두 캣워크 주변 항만안전 현수막 훼손 - 항만안전문화주간 현수막으로 재설치 불필요,즉시처리,제거·차단,- 항만안전 현수막 제거 완료,완료,"- 2부두 캣워크 주변 항만안전 현수막 훼손
- 항만안전문화주간 현수막으로 재설치 불필요",- 항만안전 현수막 제거 완료,,0,1.0,직접판정,본인들도 재설치 불필요 판단한 경미사안 - 하향,
165,2026-05-22,2026-05,경남지사,사무실,INSPECTOR_12,EHS팀 책임,지사 주관,경남지사_ 사무실,관리적미흡,관리적 미흡,개선필요 [하],1.0,1층 정비고 내 연삭기보관구간 연삭기제거. 후 관계표지등 제거조치미흡.,즉시처리,제거·차단,즉시 제거조치 완료.,완료,1층 정비고 내 연삭기보관구간 연삭기제거. 후 관계표지등 제거조치미흡.,즉시 제거조치 완료.,,0,1.0,키워드보정,,
166,2026-05-22,2026-05,전북지사,전주 동산역,INSPECTOR_09,EHS팀 선임,지사 주관,전북지사_ 전주 동산역,전도,전도,개선필요 [하],1.0,"- 요철, 돌맹이 등으로 인해 리치스테커 타이어 손상으로 인해 작업중 전도 위험이 있어 정리 필요",즉시처리,제거·차단,"요철, 돌맹이 등 정리정돈 완료",완료,"[운송팀_동산역]
- 요철, 돌맹이 등으로 인해 리치스테커 타이어 손상으로 인해 작업중 전도 위험이 있어 정리 필요","요철, 돌맹이 등 정리정돈 완료",,0,1.0,키워드보정,,
167,2026-05-22,2026-05,전북지사,완주복합물류센터,INSPECTOR_09,EHS팀 선임,지사 주관,전북지사_ 완주복합물류센터,화재·폭발,화재,개선필요 [하],1.0,- 전기차 충전기 신규 설치에 따른 자동확산소화기 설치 핖요,즉시처리,설치·구조물,자동확산소화기 설치 완료,완료,"[완주복합물류센터]
- 전기차 충전기 신규 설치에 따른 자동확산소화기 설치 핖요",자동확산소화기 설치 완료,화기·인화물인근,1,2.0,키워드보정,,
168,2026-05-22,2026-05,전북지사,완주복합물류센터,INSPECTOR_09,EHS팀 선임,지사 주관,전북지사_ 완주복합물류센터,충돌,충돌,개선필요 [하],1.0,-CAMP-1 본관동 출입구 조명 등기구 불량으로 경비원 야간 이동 시 충돌위험이 있어 교체 필요,즉시처리,설치·구조물,교체 완료,완료,"[완주복합물류센터]
-CAMP-1 본관동 출입구 조명 등기구 불량으로 경비원 야간 이동 시 충돌위험이 있어 교체 필요",교체 완료,,0,1.0,키워드보정,,
169,2026-05-22,2026-05,부산지사,양산,INSPECTOR_08,EHS팀 책임,지사 주관,부산지사_ 양산,관리적미흡,관리적 미흡,개선필요 [하],1.0,사업장 내 피난안내도 상 사무실 위치등 변경사항 미반영되어 있어 변경사항 수정 필요,즉시처리,교육·지도,피난안내도 내 내용 변경사항 수정후 재부착 완료,완료,사업장 내 피난안내도 상 사무실 위치등 변경사항 미반영되어 있어 변경사항 수정 필요,피난안내도 내 내용 변경사항 수정후 재부착 완료,,0,1.0,직접판정,낮음,
170,2026-05-21,2026-05,부산지사,우암,INSPECTOR_14,EHS팀 선임,지사 주관,부산지사_ 우암,전도,전도,개선필요 [상],3.0,야드 노면 파손으로 인한 지게차 및 화물차량 이동 중 전도 위험 → 즉시 파손된 구역 이동하지 못하도록 조치 및 야드 보수 필요,즉시처리,기타,지게차 및 화물차량 이동하지 못하도록 파렛트 임시 조치 완료,완료,야드 노면 파손으로 인한 지게차 및 화물차량 이동 중 전도 위험 → 즉시 파손된 구역 이동하지 못하도록 조치 및 야드 보수 필요,지게차 및 화물차량 이동하지 못하도록 파렛트 임시 조치 완료,회전체·협착점인근,1,4.0,키워드보정,,
171,2026-05-21,2026-05,경남지사,마산항,INSPECTOR_12,EHS팀 책임,지사 주관,경남지사_ 마산항,관리적미흡,관리적 미흡,개선필요 [하],1.0,4부두운영건물 1층 소화기보관구간에 위치표지가 없어 소화기위치 확인의 어려움.,즉시처리,기타,소화기 위치표기 완료.,완료,4부두운영건물 1층 소화기보관구간에 위치표지가 없어 소화기위치 확인의 어려움.,소화기 위치표기 완료.,,1,1.0,직접판정,낮음,
172,2026-05-21,2026-05,전북지사,완주복합물류센터,INSPECTOR_09,EHS팀 선임,지사 주관,전북지사_ 완주복합물류센터,전도,전도,개선필요 [중],2.0,- 옥외장치장 리치스테커 이동 시 입구 아스콘이 하중을 버티지 못해 처짐 발생으로 보강공사 필요,즉시처리,기타,바닥 보강작업 완료,완료,"[완주복합물류센터]
- 옥외장치장 리치스테커 이동 시 입구 아스콘이 하중을 버티지 못해 처짐 발생으로 보강공사 필요",바닥 보강작업 완료,,0,2.0,직접판정,"지반침하 전도위험, 원등급 유지",
173,2026-05-21,2026-05,부산지사,감천,INSPECTOR_08,EHS팀 책임,지사 주관,부산지사_ 감천,감전,감전,개선필요 [중],2.0,창고내 신규 설치 사무 컨테이너 분전함 내 접지 미조치로 전기안전업체 측 연락 조치,즉시처리,기타,분전함 내 접지 조치 완료,진행(조치 후),창고내 신규 설치 사무 컨테이너 분전함 내 접지 미조치로 전기안전업체 측 연락 조치,분전함 내 접지 조치 완료,,0,2.0,키워드보정,,
174,2026-05-21,2026-05,부산지사,감천,INSPECTOR_14,EHS팀 선임,지사 주관,부산지사_ 감천,관리적미흡,관리적 미흡,개선필요 [중],2.0,하역도구 폐기장소 구역 설정 미흡으로 폐기대상 하역도구 사용 위험 → 하역도구 폐기장소 구역 페인트 등 라인 구획하여 폐기대상 하역도구 사용하지 못하도록 조치 필요,,미분류,,진행(조치 전),하역도구 폐기장소 구역 설정 미흡으로 폐기대상 하역도구 사용 위험 → 하역도구 폐기장소 구역 페인트 등 라인 구획하여 폐기대상 하역도구 사용하지 못하도록 조치 필요,,,0,2.0,키워드보정,,
175,2026-05-21,2026-05,부산지사,감천,INSPECTOR_14,EHS팀 선임,지사 주관,부산지사_ 감천,관리적미흡,관리적 미흡,개선필요 [하],1.0,신규 하역도구방 내 하역도구 관리 표지 미흡 → 하역도구 관리 관련 안전표지 부착 필요,즉시처리,제거·차단,하역도구 폐기기준 점검방법 표지 및 안전관리 지침 부착 완료,완료,신규 하역도구방 내 하역도구 관리 표지 미흡 → 하역도구 관리 관련 안전표지 부착 필요,하역도구 폐기기준 점검방법 표지 및 안전관리 지침 부착 완료,,0,1.0,키워드보정,,
176,2026-05-21,2026-05,부산지사,감천,INSPECTOR_14,EHS팀 선임,지사 주관,부산지사_ 감천,화재·폭발,화재,개선필요 [하],1.0,신규 하역도구방 내 소화기 위치표지 및 주변 정리정돈 미흡 → 소화기 위치표지 부착 및 주변 정리정돈 필요,즉시처리,기타,소화기 위치표지 부착 완료,완료,신규 하역도구방 내 소화기 위치표지 및 주변 정리정돈 미흡 → 소화기 위치표지 부착 및 주변 정리정돈 필요,소화기 위치표지 부착 완료,화기·인화물인근,1,2.0,키워드보정,,
177,2026-05-21,2026-05,전북지사,군산항 부두,INSPECTOR_04,EHS팀 책임,지사 주관,전북지사_ 군산항 부두,감전,감전,개선필요 [중],2.0,1. 전기사용 콘센트 주변 안전보건표지 부착 필요 2. 누전차단기 및 접지상태는 양호하나 관련 안전표지 부착 필요,즉시처리,교육·지도,감전주의 경고표지 부착 완료,완료,"[군산항 5부두]
1. 전기사용 콘센트 주변 안전보건표지 부착 필요
2. 누전차단기 및 접지상태는 양호하나 관련 안전표지 부착 필요",감전주의 경고표지 부착 완료,,0,2.0,키워드보정,,
178,2026-05-18,2026-05,전북지사,군산항 부두,INSPECTOR_04,EHS팀 책임,지사 주관,전북지사_ 군산항 부두,감전,감전,개선필요 [하],1.0,1. 밧데리 충전부위 노출로 인한 감전위험 2. 충전부 플라스틱캡 등을 씌워 감전예방 필요,즉시처리,기타,충전부 플라스틱 캡을 씌워 보호조치 완료,완료,"[군산항 5부두]
1. 밧데리 충전부위 노출로 인한 감전위험
2. 충전부 플라스틱캡 등을 씌워 감전예방 필요",충전부 플라스틱 캡을 씌워 보호조치 완료,충전부·고압인근,2,3.0,키워드보정,,
179,2026-05-18,2026-05,강원지사,안인,INSPECTOR_15,EHS팀 선임,본사 주관,강원지사_ 안인,기타,기타,개선필요 [중],2.0,하역시 분진발생 분진에 따른 호흡기 질환 발생 분진 비산 방지조치 요청,즉시처리,기타,분진 비산 방지조치 실시(살수),완료,"<지적사항>
하역시 분진발생
<위험요인>
분진에 따른 호흡기 질환 발생
<조치요청>
분진 비산 방지조치 요청",분진 비산 방지조치 실시(살수),,0,2.0,직접판정,"분진 호흡기질환, 원등급 유지",
180,2026-05-18,2026-05,강원지사,안인,INSPECTOR_15,EHS팀 선임,지사 주관,강원지사_ 안인,관리적미흡,관리적 미흡,개선필요 [중],2.0,"승,하강용 사다리 경고표지 미부착 승,하강시 미끄러짐, 추락 위험 경고표지 부착 요청",즉시처리,교육·지도,경고표지 부착 완료,완료,"<지적사항>
승,하강용 사다리 경고표지 미부착
<위험요인>
승,하강시 미끄러짐, 추락 위험
<조치요청>
경고표지 부착 요청",경고표지 부착 완료,고소·상부작업,2,4.0,직접판정,사다리 승하강(고소이동)+추락위험 명시 → 기본2+가중2=4,추락
181,2026-05-18,2026-05,강원지사,안인,INSPECTOR_15,EHS팀 선임,지사 주관,강원지사_ 안인,관리적미흡,관리적 미흡,개선필요 [중],2.0,"이동구간 경고표지 문구 부착 필요 인지 미흡시 미끄러짐,추락위험 경고표지 부착 요청",즉시처리,교육·지도,경고표지 부착 완료,완료,"<지적사항>
이동구간 경고표지 문구 부착 필요
<위험요인>
인지 미흡시 미끄러짐,추락위험
<조치요청>
경고표지 부착 요청",경고표지 부착 완료,,0,2.0,직접판정,"이동구간 일반통로로 구체적 고소맥락 약함, 원등급 유지",
182,2026-05-18,2026-05,강원지사,동해,INSPECTOR_15,EHS팀 선임,지사 주관,강원지사_ 동해,화재·폭발,화재,관계법규 위반,4.0,"차량 내 소화기 비치 필요 차량 화재,폭발시 초동조치 미흡 차량용 소화기 비치 요청 참고 : 「소방시설 설치 및 관리에 관한 법률」 제11조",즉시처리,기타,차량용 소화기 비치 완료,완료,"<지적사항>
차량 내 소화기 비치 필요
<위험요인>
차량 화재,폭발시 초동조치 미흡
<조치요청>
차량용 소화기 비치 요청

참고 :  「소방시설 설치 및 관리에 관한 법률」 제11조",차량용 소화기 비치 완료,화기·인화물인근,1,4.0,키워드보정,,
183,2026-05-18,2026-05,경인지사,안성 1센터,INSPECTOR_17,EHS팀 선임,지사 주관,경인지사_ 안성 1센터,전도,전도,개선필요 [중],2.0,보행자통로 지장물 간섭,,미분류,,진행(조치 전),보행자통로 지장물 간섭,,,0,2.0,키워드보정,,
184,2026-05-18,2026-05,경인지사,안성 1센터,INSPECTOR_17,EHS팀 선임,지사 주관,경인지사_ 안성 1센터,관리적미흡,관리적 미흡,개선필요 [중],2.0,운휴 지게차 시동키 분리 미흡,즉시처리,기타,시동키 분리 완료(즉시조치),완료,운휴 지게차 시동키 분리 미흡,시동키 분리 완료(즉시조치),회전체·협착점인근,1,3.0,키워드보정,,
185,2026-05-18,2026-05,경인지사,안성 2센터,INSPECTOR_17,EHS팀 선임,지사 주관,경인지사_ 안성 2센터,충돌,충돌,개선필요 [하],1.0,반사경 각도 재조정 필요,즉시처리,기타,반사경 각도 재조정 완료,완료,반사경 각도 재조정 필요,반사경 각도 재조정 완료,,0,1.0,키워드보정,,
186,2026-05-18,2026-05,경인지사,안성 1센터,INSPECTOR_17,EHS팀 선임,지사 주관,경인지사_ 안성 1센터,관리적미흡,관리적 미흡,개선필요 [하],1.0,12대안전보건수칙 표지 탈락으로 재부착 필요,즉시처리,기타,12대안전보건수칙 표지 재부착 완료,완료,12대안전보건수칙 표지 탈락으로 재부착 필요,12대안전보건수칙 표지 재부착 완료,,0,1.0,직접판정,"표지 재부착, 낮음",
187,2026-05-18,2026-05,경인지사,안성 1센터,INSPECTOR_17,EHS팀 선임,지사 주관,경인지사_ 안성 1센터,관리적미흡,관리적 미흡,개선필요 [중],2.0,비상발전기 배터리 내용연수 초과로 교체필요,즉시처리,설치·구조물,비상발전기 배터리 교체 완료,완료,비상발전기 배터리 내용연수 초과로 교체필요,비상발전기 배터리 교체 완료,,0,2.0,키워드보정,,
188,2026-05-18,2026-05,전북지사,군산항 부두,INSPECTOR_04,EHS팀 책임,지사 주관,전북지사_ 군산항 부두,기타,기타,개선필요 [하],1.0,1. 배수로 물고임에 따른 정비 필요 2. 하절기 우기철 대비하여 배수로 사전 정비 필요,즉시처리,설치·구조물,1. 물고임 배수로 정비 완료 2. 지속적 관리 요함,완료,"[군산항 5부두]
1. 배수로 물고임에 따른 정비 필요
2. 하절기 우기철 대비하여 배수로 사전 정비 필요","1. 물고임 배수로 정비 완료
2. 지속적 관리 요함",,0,1.0,키워드보정,,
189,2026-05-15,2026-05,당진지사,당진지사,INSPECTOR_01,EHS팀 주임,지사 주관,당진지사,관리적미흡,관리적 미흡,개선필요 [하],1.0,- 석회석 부두 인명구조함 노후로 인한 부식 발생,,미분류,,진행(조치 전),- 석회석 부두 인명구조함 노후로 인한 부식 발생,,,0,1.0,직접판정,"구조함 노후, 낮음",
190,2026-05-15,2026-05,당진지사,당진지사,INSPECTOR_07,EHS팀 선임,지사 주관,당진지사,정리정돈,정리정돈,개선필요 [중],2.0,- 1부두 전원선 사용후 보관함 상부 방치로 외부환경 노출 - 전원선은 전기선 보관함 내부 보관 전달,즉시처리,제거·차단,- 전기선 보관함으로 전원선 정리정돈 완료,완료,"- 1부두 전원선 사용후 보관함 상부 방치로 외부환경 노출
- 전원선은 전기선 보관함 내부 보관 전달",- 전기선 보관함으로 전원선 정리정돈 완료,고소·상부작업,2,4.0,키워드보정,,
191,2026-05-15,2026-05,당진지사,당진지사,INSPECTOR_07,EHS팀 선임,지사 주관,당진지사,전도,전도,개선필요 [상],3.0,- 2부두 배수로 청소시 그레이팅 커버를 세워서 보관하여 전도 위험 - 그레이팅 커버 치외시 안정적인 보관 필요,즉시처리,기타,- 그레이팅 커버 보관시 바닥면 적재 및 청소 완료시 정위치 전달,완료,"- 2부두 배수로 청소시 그레이팅 커버를 세워서 보관하여 전도 위험
- 그레이팅 커버 치외시 안정적인 보관 필요 ",- 그레이팅 커버 보관시 바닥면 적재 및 청소 완료시 정위치 전달,,0,3.0,키워드보정,,
192,2026-05-14,2026-05,부산지사,용당,INSPECTOR_14,EHS팀 선임,지사 주관,부산지사_ 용당,관리적미흡,관리적 미흡,개선필요 [하],1.0,랩핑기 노후화로 부식 및 안전표지 떨어짐 → 랩핑기 페인팅 및 안전표지 재부착 필요,즉시처리,기타,랩핑기 페인팅 및 안전표지 재부착 완료,완료,랩핑기 노후화로 부식 및 안전표지 떨어짐 → 랩핑기 페인팅 및 안전표지 재부착 필요,랩핑기 페인팅 및 안전표지 재부착 완료,,0,1.0,키워드보정,,
193,2026-05-14,2026-05,부산지사,용당,INSPECTOR_14,EHS팀 선임,지사 주관,부산지사_ 용당,추락,추락,개선필요 [상],3.0,적재함 상부 상하차 작업 중인 화물차량 운전자 턱끈 체결 미흡 → 즉시 턱끈 체결 조치 필요,즉시처리,기타,즉시 턱끈 체결 조치 완료,완료,적재함 상부 상하차 작업 중인 화물차량 운전자 턱끈 체결 미흡 → 즉시 턱끈 체결 조치 필요,즉시 턱끈 체결 조치 완료,고소·상부작업,2,4.0,키워드보정,,
194,2026-05-14,2026-05,부산지사,용당,INSPECTOR_14,EHS팀 선임,지사 주관,부산지사_ 용당,화재·폭발,화재,개선필요 [상],3.0,사업장 외곽 잔가지 등 정리정돈 미흡으로 불씨로 인한 화재 위험 → 잔가지 등 정리정돈 필요,즉시처리,제거·차단,잔가지 등 정리정돈 완료,완료,사업장 외곽 잔가지 등 정리정돈 미흡으로 불씨로 인한 화재 위험 → 잔가지 등 정리정돈 필요,잔가지 등 정리정돈 완료,,0,3.0,키워드보정,,
195,2026-05-14,2026-05,경남지사,사무실,INSPECTOR_12,EHS팀 책임,지사 주관,경남지사_ 사무실,전도,전도,개선필요 [하],1.0,폐기물보관장 내부 입구하부에 자재가 올라가있는 나무 파렛트가 비치되어 있어 출입하는 근로자 전도사고 발생 위험.,즉시처리,기타,자재 및 파렛트 이동조치 완료.,완료,폐기물보관장 내부 입구하부에 자재가 올라가있는 나무 파렛트가 비치되어 있어 출입하는 근로자 전도사고 발생 위험. ,자재 및 파렛트 이동조치 완료.,,0,1.0,직접판정,"적치물로 인한 전도, 낮음",
196,2026-05-14,2026-05,부산지사,용당,INSPECTOR_14,EHS팀 선임,지사 주관,부산지사_ 용당,화재·폭발,화재,개선필요 [중],2.0,창고 내 소화기 위치표지 시인성 미흡 → 소화기 위치표지 사이즈 확대 및 출력하여 부착 필요,즉시처리,기타,소화기 위치표지 부착 완료,완료,창고 내 소화기 위치표지 시인성 미흡 → 소화기 위치표지 사이즈 확대 및 출력하여 부착 필요,소화기 위치표지 부착 완료,,1,2.0,직접판정,"화재대응력 저하, 원등급 유지",
197,2026-05-13,2026-05,전북지사,군산항 부두,INSPECTOR_04,EHS팀 책임,지사 주관,전북지사_ 군산항 부두,기타,기타,핵심안전수칙 위반,4.0,1. 소금BAG 항역 작업 중 운행되는 세네보겐의 훅의 해지장치가 벌어져 기능 상실 2. 화물의 흔들림으로 인해 화물이 훅에서 벗어나 낙하하여 하부 근로자와 부딛힐 위험 3. 정비팀 요청하여 해당 훅해지장치 수리 요청,즉시처리,설치·구조물,1. 정비팀 해당 세네보겐 훅해지장치 수리 완료 2. 지속적 확인 및 관리 요청 함,완료,"[군산항 3부두]
1. 소금BAG 항역 작업 중 운행되는 세네보겐의 훅의 해지장치가 벌어져 기능 상실
2. 화물의 흔들림으로 인해 화물이 훅에서 벗어나 낙하하여 하부 근로자와 부딛힐 위험
3. 정비팀 요청하여 해당 훅해지장치 수리 요청","1. 정비팀 해당 세네보겐 훅해지장치 수리 완료
2. 지속적 확인 및 관리 요청 함",,0,4.0,키워드보정,,
198,2026-05-13,2026-05,당진지사,당진지사,INSPECTOR_01,EHS팀 주임,지사 주관,당진지사,관리적미흡,관리적 미흡,개선필요 [하],1.0,- 석회석 P/L 인양용 와이어로프 허용하중 표기 불량,즉시처리,점검·확인,"- 화주사 양식에 맞는 허용하중 스티커 부착 완료, - 분기별 하역도구 점검시 지속 확인 예정",완료,- 석회석 P/L 인양용 와이어로프 허용하중 표기 불량,"- 화주사 양식에 맞는 허용하중 스티커 부착 완료,
- 분기별 하역도구 점검시 지속 확인 예정",,0,1.0,키워드보정,,
199,2026-05-13,2026-05,전북지사,군산항역,INSPECTOR_09,EHS팀 선임,지사 주관,전북지사_ 군산항역,정리정돈,정리정돈,개선필요 [하],1.0,"- 폐기물, 잡초 등 정리정돈 필요",즉시처리,제거·차단,"-폐기물, 잡초 등 정리정돈 완료",완료,"[운송팀_3부두 CY]
- 폐기물, 잡초 등 정리정돈 필요","-폐기물, 잡초 등 정리정돈 완료",,0,1.0,직접판정,"정리정돈, 낮음",
200,2026-05-13,2026-05,부산지사,감천,INSPECTOR_08,EHS팀 책임,지사 주관,부산지사_ 감천,감전,감전,개선필요 [중],2.0,창고내 컨테이너 사무실 분전함 차단기 접촉 예방 조치 및 감전주의 표지 미흡,즉시처리,제거·차단,감전주의 표지 부착 및 차단기 접촉 방지 조치 완료,완료,창고내 컨테이너 사무실 분전함 차단기 접촉 예방 조치 및 감전주의 표지 미흡,감전주의 표지 부착 및 차단기 접촉 방지 조치 완료,,0,2.0,키워드보정,,
201,2026-05-13,2026-05,부산지사,감천,INSPECTOR_08,EHS팀 책임,지사 주관,부산지사_ 감천,충돌,충돌,개선필요 [중],2.0,"창고내 컨테이너 사무실 문개방시 랙방향에서 나오는 지게차와 충돌 위험 있으므로, 문개방 각도 제한 조치 필요",즉시처리,설치·구조물,도어클로저 설치로 문 개방 저항성을 올려 많이 열리지 못하고 문은 자동 닫히도록 조치,완료,"창고내 컨테이너 사무실 문개방시 랙방향에서 나오는 지게차와 충돌 위험 있으므로, 문개방 각도 제한 조치 필요",도어클로저 설치로 문 개방 저항성을 올려 많이 열리지 못하고 문은 자동 닫히도록 조치 ,,1,2.0,직접판정,"지게차 충돌위험, 원등급 유지",
202,2026-05-13,2026-05,경인지사,의왕,INSPECTOR_03,EHS팀 주임,지사 주관,경인지사_ 의왕,기타,기타,개선필요 [하],1.0,의왕CY 컨테이너 1단에 게시 중인 현수막이 파손되어 미관 저해 및 근로자 인식 불가 상태,즉시처리,제거·차단,"훼손 현수막 제거 완료, 추후 CY내 화물차량 통행 관련된 현수막 제작 및 재게시 예정",진행(조치 후),의왕CY 컨테이너 1단에 게시 중인 현수막이 파손되어 미관 저해 및 근로자 인식 불가 상태,"훼손 현수막 제거 완료, 추후 CY내 화물차량 통행 관련된 현수막 제작 및 재게시 예정",,0,1.0,키워드보정,,
203,2026-05-13,2026-05,경남지사,마산항,INSPECTOR_12,EHS팀 책임,지사 주관,경남지사_ 마산항,기타,기타,개선필요 [상],3.0,"4부두 선내 권하하여 안착된 화물을 지게차가 이동하는 과정에서 크레인화물이 권상되어 넘어 옴. 신호 불일치 , 크레인 운전원 주의 부족.",즉시처리,교육·지도,해당 내용 관리감독자에게 전파 및 항운노조원에게 신호 준수사항 공유,완료,"4부두 선내 권하하여 안착된 화물을 지게차가 이동하는 과정에서  크레인화물이 권상되어 넘어 옴. 
신호 불일치 , 크레인 운전원 주의 부족. ",해당 내용 관리감독자에게 전파 및 항운노조원에게 신호 준수사항 공유,"회전체·협착점인근, 화기·인화물인근",2,4.0,키워드보정,,
204,2026-05-12,2026-05,당진지사,당진지사,INSPECTOR_01,EHS팀 주임,지사 주관,당진지사,추락,추락,개선필요 [중],2.0,- 유연탄 2부두 SUMP PIT 준설작업 완료 후 그레이팅 설치 불량,즉시처리,설치·구조물,- 그레이팅 설치 완료 및 주무부서 및 준설업체 내용 전달 완료,완료,- 유연탄 2부두 SUMP PIT 준설작업 완료 후 그레이팅 설치 불량,- 그레이팅 설치 완료 및 주무부서 및 준설업체 내용 전달 완료,,0,2.0,직접판정,"PIT 그레이팅 불량, 단순개구부로 원등급 유지",
205,2026-05-12,2026-05,당진지사,당진지사,INSPECTOR_01,EHS팀 주임,지사 주관,당진지사,관리적미흡,관리적 미흡,개선필요 [하],1.0,- 유연탄 2부두 휴게실 부근 낙탄 다량 발생 정리 필요,즉시처리,제거·차단,- 해당업체 청소진행 요청 및 정리상태 확인 완료,완료,- 유연탄 2부두 휴게실 부근 낙탄 다량 발생 정리 필요,- 해당업체 청소진행 요청 및 정리상태 확인 완료,,0,1.0,키워드보정,,
206,2026-05-12,2026-05,강원지사,삼척,INSPECTOR_02,EHS팀 사원,지사 주관,강원지사_ 삼척,정리정돈,정리정돈,개선필요 [하],1.0,하역부두 이동구간 폐기물 방치로 정리정돈 필요 이동구간 내 폐기물로 방치로 인한 비산먼지(유연탄 분진) 발생 및 걸려 넘이짐 위험,즉시처리,제거·차단,이동구간 내 폐기물로 제거 및 관리상태 확인,완료,"<지적사항>
하역부두 이동구간 폐기물 방치로 정리정돈 필요
<위험요인>
이동구간 내 폐기물로 방치로 인한 비산먼지(유연탄 분진) 발생 및 걸려 넘이짐 위험",이동구간 내 폐기물로 제거 및 관리상태 확인,,0,1.0,키워드보정,,
207,2026-05-12,2026-05,부산지사,감천,INSPECTOR_14,EHS팀 선임,지사 주관,부산지사_ 감천,화재·폭발,화재,개선필요 [상],3.0,외부 공사업체 작업 시 소화기 비치 미흡 → 화기 취급 작업으로 소화기 비치 필요,즉시처리,기타,소화기 비치하여 화기 작업 실시 완료,완료,외부 공사업체 작업 시 소화기 비치 미흡 → 화기 취급 작업으로 소화기 비치 필요,소화기 비치하여 화기 작업 실시 완료,화기·인화물인근,1,4.0,키워드보정,,
